Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
8.800274E+2	9.907121E+1	5.786100E-1	2.973880E+1	8.431000E+2
8.810271E+2	9.920281E+1	5.801200E-1	2.979630E+1	8.403000E+2
8.820272E+2	9.933099E+1	5.815100E-1	2.985230E+1	8.367000E+2
8.830272E+2	9.946305E+1	5.829100E-1	2.991000E+1	8.343000E+2
8.840274E+2	9.959099E+1	5.844300E-1	2.996590E+1	8.318000E+2
8.850269E+2	9.972328E+1	5.857900E-1	3.002370E+1	8.295000E+2
8.860276E+2	9.985535E+1	5.874500E-1	3.008140E+1	8.256000E+2
8.870280E+2	9.998535E+1	5.889800E-1	3.013820E+1	8.233000E+2
8.880283E+2	1.001174E+2	5.902600E-1	3.019590E+1	8.191000E+2
8.890281E+2	1.002495E+2	5.916800E-1	3.025360E+1	8.175000E+2
8.900280E+2	1.003822E+2	5.931300E-1	3.031160E+1	8.138000E+2
8.910279E+2	1.005150E+2	5.945400E-1	3.036960E+1	8.104000E+2
8.920283E+2	1.006491E+2	5.959800E-1	3.042820E+1	8.080000E+2
8.930282E+2	1.007818E+2	5.974000E-1	3.048620E+1	8.064000E+2
8.940284E+2	1.009201E+2	5.988900E-1	3.054660E+1	8.027000E+2
8.950276E+2	1.010503E+2	6.005500E-1	3.060350E+1	7.997000E+2
8.960280E+2	1.011872E+2	6.019200E-1	3.066330E+1	7.970000E+2
8.970277E+2	1.013220E+2	6.034000E-1	3.072220E+1	7.929000E+2
8.980284E+2	1.014568E+2	6.051700E-1	3.078110E+1	7.909000E+2
8.990289E+2	1.015951E+2	6.064800E-1	3.084150E+1	7.874000E+2
9.000290E+2	1.017322E+2	6.081400E-1	3.090140E+1	7.858000E+2
9.010291E+2	1.018695E+2	6.097800E-1	3.096140E+1	7.828000E+2
9.020293E+2	1.020102E+2	6.111900E-1	3.102290E+1	7.775000E+2
9.030287E+2	1.021455E+2	6.125300E-1	3.108200E+1	7.780000E+2
9.040292E+2	1.022840E+2	6.141600E-1	3.114250E+1	7.726000E+2
9.050285E+2	1.024238E+2	6.158300E-1	3.120360E+1	7.736000E+2
9.060289E+2	1.025609E+2	6.173300E-1	3.126350E+1	7.678000E+2
9.070285E+2	1.027010E+2	6.188000E-1	3.132470E+1	7.666000E+2
9.080288E+2	1.028399E+2	6.205700E-1	3.138540E+1	7.639000E+2
9.090286E+2	1.029775E+2	6.220600E-1	3.144550E+1	7.605000E+2
9.100286E+2	1.031141E+2	6.236500E-1	3.150520E+1	7.591000E+2
9.110292E+2	1.032558E+2	6.253600E-1	3.156710E+1	7.545000E+2
9.120301E+2	1.033995E+2	6.265600E-1	3.162990E+1	7.527000E+2
9.130301E+2	1.035337E+2	6.282500E-1	3.168850E+1	7.516000E+2
